molecule,atom_index_1,atom_index_2,bond_index,pred_bde
C/C(=C\C1=CC=CC=C1)/C=O,9,10,9,84.46624
C/C(=C\C1=CC=CC=C1)/C=O,0,13,13,85.567024
C/C(=C\C1=CC=CC=C1)/C=O,0,12,12,85.567024
C/C(=C\C1=CC=CC=C1)/C=O,0,11,11,85.567024
C/C(=C\C1=CC=CC=C1)/C=O,8,3,10,88.113464
C/C(=C\C1=CC=CC=C1)/C=O,3,4,3,88.113464
C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,3,4,3,59.679016
C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,7,8,7,72.80442
C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,11,12,11,73.77021
C/C=C/C=C/C(=O)OC,0,9,8,81.10842
C/C=C/C=C/C(=O)OC,0,11,10,81.10842
C/C=C/C=C/C(=O)OC,0,10,9,81.10842
C/C=C/C=C/C(=O)OC,5,6,5,91.75854
C/C=C/C=C/C(=O)OC,7,8,7,94.076706
C1(=C(C=C(C=C1C)C)CCCCCCCCCCCCCCCC)C,8,9,8,77.392265
C1(=C(C=C(C=C1C)C)CCCCCCCCCCCCCCCC)C,21,22,21,87.4631
C1(=C(C=C(C=C1C)C)CCCCCCCCCCCCCCCC)C,11,12,11,87.52865
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,5,0,24,82.99706
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,0,1,0,83.0459
C1(C(CC(CC1CCCCCCCCCCCCCCCC)C)C)C,5,6,5,85.6833
C1/C=C\CC/C=C\C1,3,4,3,63.137535
C1/C=C\CC/C=C\C1,7,0,7,63.137535
C1/C=C\CC/C=C\C1,0,9,9,85.338005
C1/C=C\CC/C=C\C1,4,15,15,85.338005
C1/C=C\CC/C=C\C1,4,14,14,85.338005
C1/C=C\CC/C=C\C1,3,13,13,85.338005
C1/C=C\CC/C=C\C1,3,12,12,85.338005
C1/C=C\CC/C=C\C1,7,18,18,85.338005
C1/C=C\CC/C=C\C1,7,19,19,85.338005
C1/C=C\CC/C=C\C1,0,8,8,85.338005
C1/C=C\CC/C=C\C1,5,6,5,91.72254
C1/C=C\CC/C=C\C1,1,2,1,91.72254
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,6,7,6,75.55537
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,8,9,8,75.55537
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,6,18,17,77.04287
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,9,10,9,77.04287
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,6,30,31,86.27689
C1=C2C(=CC=C1)C(CCC2CCCCCCCC)CCCCCCCC,9,35,36,86.27689
C1=CC=C(C=C1)C2=CC=CC=C2,11,6,12,95.98396
C1=CC=C(C=C1)C2=CC=CC=C2,6,7,6,95.98396
C1=CC=C(C=C1)C2=CC=CC=C2,2,3,2,95.98397
C1=CC=C(C=C1)C2=CC=CC=C2,3,4,3,95.98397
C1=CC=C(C=C1)C2=CC=CC=C2,1,2,1,99.74361
C1=CC=C(C=C1)C2=CC=CC=C2,4,5,4,99.74361
C1=CC=C(C=C1)C2=CC=CC=C2,7,8,7,99.74361
C1=CC=C(C=C1)C2=CC=CC=C2,10,11,10,99.74361
C1=CC=C(C=C1)CC2=CC=CC=C2,6,19,20,83.95191
C1=CC=C(C=C1)CC2=CC=CC=C2,6,18,19,83.95191
C1=CC=C(C=C1)CC2=CC=CC=C2,3,6,5,91.50794
C1=CC=C(C=C1)CC2=CC=CC=C2,6,7,6,91.50794
C1=CC=C(C=C1)CC2=CC=CC=C2,7,8,7,99.056564
C1=CC=C(C=C1)CC2=CC=CC=C2,12,7,13,99.056564
C1=CC=C(C=C1)CCC2=CC=CC=C2,6,7,6,67.45198
C1=CC=C(C=C1)CCC2=CC=CC=C2,7,22,23,88.057274
C1=CC=C(C=C1)CCC2=CC=CC=C2,7,21,22,88.057274
C1=CC=C(C=C1)CCC2=CC=CC=C2,6,20,21,88.057274
C1=CC=C(C=C1)CCC2=CC=CC=C2,6,19,20,88.057274
C1=CC=C(C=C1)CCC2=CC=CC=C2,13,8,14,98.816284
C1=CC=C(C=C1)CCC2=CC=CC=C2,2,3,2,98.816284
C1=CC=C(C=C1)CCC2=CC=CC=C2,3,4,3,98.816284
C1=CC=C(C=C1)CCC2=CC=CC=C2,8,9,8,98.816284
