molecule,pred_bde,pred_bdfe,bond_index
CO,95.216255,84.29241,0
CO,95.034065,86.62817,1
CO,95.034065,86.62817,2
CO,95.034065,86.62817,3
CO,102.66627,94.42747,4
CCO,87.212814,74.331055,0
CCO,95.04164,83.18501,1
CCO,100.74886,92.018654,2
CCO,100.74886,92.018654,3
CCO,100.74886,92.018654,4
CCO,93.34371,84.61019,5
CCO,93.34371,84.61019,6
CCO,103.32983,95.09909,7
COC,84.27376,71.60427,0
COC,84.27376,71.60427,1
COC,95.24285,86.698906,2
COC,95.24285,86.698906,3
COC,95.24285,86.698906,4
COC,95.24285,86.698906,5
COC,95.24285,86.698906,6
COC,95.24285,86.698906,7
CCCO,89.79934,76.35655,0
CCCO,85.66273,71.718475,1
CCCO,95.25735,83.673035,2
CCCO,99.154564,90.60671,3
CCCO,99.154564,90.60671,4
CCCO,99.154564,90.60671,5
CCCO,97.46222,88.204475,6
CCCO,97.46222,88.204475,7
CCCO,93.40186,84.853905,8
CCCO,93.40186,84.853905,9
CCCO,103.09612,94.839325,10
CCCC,89.25947,75.66497,0
CCCC,87.21352,72.57413,1
CCCC,89.25947,75.66497,2
CCCC,100.106514,91.10347,3
CCCC,100.106514,91.10347,4
CCCC,100.106514,91.10347,5
CCCC,97.12534,87.74173,6
CCCC,97.12534,87.74173,7
CCCC,97.12534,87.74173,8
CCCC,97.12534,87.74173,9
CCCC,100.106514,91.10347,10
CCCC,100.106514,91.10347,11
CCCC,100.106514,91.10347,12
CCC(C)O,90.29948,76.79649,0
CCC(C)O,84.68768,70.321915,1
CCC(C)O,86.64095,73.14441,2
CCC(C)O,96.19397,83.82299,3
CCC(C)O,99.55601,90.84884,4
CCC(C)O,99.55601,90.84884,5
CCC(C)O,99.55601,90.84884,6
CCC(C)O,97.91663,88.506874,7
CCC(C)O,97.91663,88.506874,8
CCC(C)O,92.51002,83.68249,9
CCC(C)O,100.78204,92.029434,10
CCC(C)O,100.78204,92.029434,11
CCC(C)O,100.78204,92.029434,12
CCC(C)O,103.83715,95.55567,13
C1CCOC1,89.24196,76.97448,0
C1CCOC1,85.77935,73.85756,1
C1CCOC1,84.47327,73.09946,2
C1CCOC1,84.47327,73.09946,3
C1CCOC1,85.77935,73.85756,4
C1CCOC1,96.13433,87.88938,5
C1CCOC1,96.13433,87.88938,6
C1CCOC1,96.13433,87.88938,7
C1CCOC1,96.13433,87.88938,8
C1CCOC1,92.12443,84.16811,9
C1CCOC1,92.12443,84.16811,10
C1CCOC1,92.12443,84.16811,11
C1CCOC1,92.12443,84.16811,12
CC(C)CO,88.501465,74.36707,0
CC(C)CO,88.501465,74.36707,1
CC(C)CO,84.13996,69.81817,2
CC(C)CO,95.910324,84.190025,3
CC(C)CO,100.920235,92.03686,4
CC(C)CO,100.920235,92.03686,5
CC(C)CO,100.920235,92.03686,6
