can_smiles_solute,can_smiles_solvent,DGsolv,label,predicted,total_atoms_solute,total_atoms_solvent,shap_values
O=C1C=CC(=O)O1,Clc1ccccc1Cl,0.0,rxn8_r1,-6.2604938,7,8,"[-0.01604865  0.64104189 -0.56057232 -0.56057232  0.64104189 -0.01604865
  0.5118454   0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,Clc1ccccc1Cl,0.0,rxn8_p1,-10.39289,12,8,"[-0.9140107  -2.5853316  -0.01763568  0.32029565  3.13078495 -3.30067362
 -0.09630812  1.4811132  -3.11154998 -0.08620273  3.04018287 -1.35200977
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,Clc1ccccc1Cl,0.0,rxn8_r2,-3.0462146,5,8,"[-0.16618114 -0.96969599  2.27600935  1.6271499   1.0878049   0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,Clc1cccc(Cl)c1,0.0,rxn8_r1,-6.152175,7,8,"[-0.05049668  0.74912066 -0.61944876 -0.61944876  0.74912066 -0.05049668
  0.59017793  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,Clc1cccc(Cl)c1,0.0,rxn8_p1,-10.218453,12,8,"[-0.92268474 -2.60828877  0.02589578  0.33297898  3.23139691 -3.39893271
 -0.10019455  1.58844805 -3.2129626  -0.09005367  3.14491195 -1.30740337
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,Clc1cccc(Cl)c1,0.0,rxn8_r2,-2.9363127,5,8,"[-0.02569216 -0.98514408  2.21272405  1.66452179  1.09848697  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,COc1ccccc1,0.0,rxn8_r1,-6.806071,7,8,"[-0.19219576  0.91079174 -0.63776023 -0.63776023  0.91079174 -0.19219576
 -0.06673924  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,COc1ccccc1,0.0,rxn8_p1,-10.532218,12,8,"[-0.34758343 -1.01707004 -0.08457945 -0.09156145  1.01543371 -1.81785301
  0.01427049  0.12605017 -1.70192016  0.01718204  1.03031548 -0.77372468
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,COc1ccccc1,0.0,rxn8_r2,-3.0482433,5,8,"[-0.27225781 -1.037566    2.40390453  1.6957548   1.06328508  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,c1ccccc1,0.0,rxn8_r1,-6.458609,7,6,"[-0.17322321  1.02827288 -0.49196452 -0.49196452  1.02827288 -0.17322321
 -0.28400417  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,c1ccccc1,0.0,rxn8_p1,-10.894082,12,6,"[-0.40861641 -1.30157613 -0.12916938 -0.02997818  1.44256807 -2.144823
 -0.06859491  0.26980454 -2.02008475 -0.06352893  1.41459891 -0.95347792
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,c1ccccc1,0.0,rxn8_r2,-3.1910899,5,6,"[-0.19695364 -1.12288537  2.12414354  1.81545489  1.09040785  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,N#Cc1ccccc1,0.0,rxn8_r1,-7.3505883,7,8,"[-0.44362723  0.88030987 -1.05927141 -1.05927141  0.88030987 -0.44362723
  0.7960684   0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,N#Cc1ccccc1,0.0,rxn8_p1,-10.891804,12,8,"[ 0.41281627  1.11961225 -0.29422819 -0.55320203 -1.55099575 -0.01944744
 -0.04745311 -1.73847266 -0.00925875 -0.05232988 -1.34644388  0.08863
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,N#Cc1ccccc1,0.0,rxn8_r2,-2.9186184,5,8,"[-0.45806217 -1.17290737  2.62378876  1.88943373  1.10009794  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,Clc1ccccc1,0.0,rxn8_r1,-6.2712765,7,7,"[-0.05369979  0.73317037 -0.50237521 -0.50237521  0.73317037 -0.05369979
  0.27543694  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,Clc1ccccc1,0.0,rxn8_p1,-10.429127,12,7,"[-0.71687423 -2.09367463 -0.02890421  0.2000912   2.36335673 -2.77646879
 -0.02705902  0.97988051 -2.61470146 -0.01942491  2.3030561  -1.09709016
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,Clc1ccccc1,0.0,rxn8_r2,-3.1387324,5,7,"[-0.04212098 -1.07680416  2.1203447   1.68738792  1.07409396  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,CC(C)OC(C)C,0.0,rxn8_r1,-6.285583,7,7,"[-0.1161756   1.01727527 -0.50450581 -0.50450581  1.01727527 -0.1161756
 -0.17796094  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,CC(C)OC(C)C,0.0,rxn8_p1,-9.813838,12,7,"[-0.35834634 -0.84940543 -0.10760208  0.00303643  1.24925925 -1.70156274
 -0.08502845 -0.01958588 -1.59367863 -0.0814281   1.2943037  -0.66381311
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,CC(C)OC(C)C,0.0,rxn8_r2,-3.2201753,5,7,"[-0.46041052 -1.09184202  2.43586527  1.79517446  1.00227197  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,COc1ccccc1OC,0.0,rxn8_r1,-7.197369,7,10,"[-0.17495115  0.74234942 -0.58772883 -0.58772883  0.74234942 -0.17495115
 -0.25445266  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,COc1ccccc1OC,0.0,rxn8_p1,-10.570739,12,10,"[-0.03077415  0.09412204 -0.20339406 -0.27614866 -0.14578548 -0.89115744
 -0.10567513 -0.92367607 -0.81963537 -0.10684362 -0.01179249 -0.24829896
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,COc1ccccc1OC,0.0,rxn8_r2,-2.9590046,5,10,"[-0.4628907  -1.10197552  2.64451734  1.76343251  1.09880873  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C1=CCC=C1,OCCO,0.0,rxn9_r1,-2.1890512,5,4,"[ 2.55757775 -0.54031292  0.67734085 -0.54031292  2.55757775  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC(=O)C1CC2C=CC1C2,OCCO,0.0,rxn9_p1,-6.5057807,10,4,"[ 0.52663001  0.30424085  0.51059254 -0.28716609 -0.4106183  -0.1418104
  0.22250421  0.10258826 -0.15605533 -0.27485665  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
