reaction_index,reaction_type,reactant1_smiles,reactant2_smiles,product1_smiles,product2_smiles,solvent_name,solvent_smiles,temperature (K),kliq,kliq_unit,ref_solvent_name,ref_solvent_smiles,krel (kliq_to_kref),reference,note
8,Diels-Alder,O=C1C=CC(=O)O1,C=CC(=C)C,CC1=CCC2C(=O)OC(=O)C2C1,,"1,2-dichlorobenzene",Clc1ccccc1Cl,303.3,0.000667,M^-1 s^-1,isopropyl ether,CC(C)OC(C)C,13.3,doi: 10.1021/ja00713a030,"Two pathways exist, each with endo and exo diastereomer products"
8,Diels-Alder,O=C1C=CC(=O)O1,C=CC(=C)C,CC1=CCC2C(=O)OC(=O)C2C1,,"1,3-dichlorobenzene",Clc1cccc(Cl)c1,303.3,0.00033,M^-1 s^-1,isopropyl ether,CC(C)OC(C)C,6.59,doi: 10.1021/ja00713a030,"Two pathways exist, each with endo and exo diastereomer products"
8,Diels-Alder,O=C1C=CC(=O)O1,C=CC(=C)C,CC1=CCC2C(=O)OC(=O)C2C1,,anisole,COc1ccccc1,303.3,0.000252,M^-1 s^-1,isopropyl ether,CC(C)OC(C)C,5.03,doi: 10.1021/ja00713a030,"Two pathways exist, each with endo and exo diastereomer products"
8,Diels-Alder,O=C1C=CC(=O)O1,C=CC(=C)C,CC1=CCC2C(=O)OC(=O)C2C1,,benzene,c1ccccc1,303.3,0.000175,M^-1 s^-1,isopropyl ether,CC(C)OC(C)C,3.49,doi: 10.1021/ja00713a030,"Two pathways exist, each with endo and exo diastereomer products"
8,Diels-Alder,O=C1C=CC(=O)O1,C=CC(=C)C,CC1=CCC2C(=O)OC(=O)C2C1,,benzonitrile,N#Cc1ccccc1,303.3,0.000343,M^-1 s^-1,isopropyl ether,CC(C)OC(C)C,6.85,doi: 10.1021/ja00713a030,"Two pathways exist, each with endo and exo diastereomer products"
8,Diels-Alder,O=C1C=CC(=O)O1,C=CC(=C)C,CC1=CCC2C(=O)OC(=O)C2C1,,chlorobenzene,Clc1ccccc1,303.3,0.000252,M^-1 s^-1,isopropyl ether,CC(C)OC(C)C,5.03,doi: 10.1021/ja00713a030,"Two pathways exist, each with endo and exo diastereomer products"
8,Diels-Alder,O=C1C=CC(=O)O1,C=CC(=C)C,CC1=CCC2C(=O)OC(=O)C2C1,,isopropyl ether,CC(C)OC(C)C,303.3,5.01E-05,M^-1 s^-1,isopropyl ether,CC(C)OC(C)C,1,doi: 10.1021/ja00713a030,"Two pathways exist, each with endo and exo diastereomer products"
8,Diels-Alder,O=C1C=CC(=O)O1,C=CC(=C)C,CC1=CCC2C(=O)OC(=O)C2C1,,veratrole,COc1ccccc1OC,303.3,0.00031,M^-1 s^-1,isopropyl ether,CC(C)OC(C)C,6.19,doi: 10.1021/ja00713a030,"Two pathways exist, each with endo and exo diastereomer products"
9,Diels-Alder,C1=CCC=C1,C=CC(C)=O,CC(=O)C1CC2C=CC1C2,,ethylene glycol,OCCO,293,0.0048,M^-1 s^-1,isooctane,CC(C)CC(C)(C)C,80.8,doi: 10.1021/ja00225a003,"Two pathways exist, each with endo and exo diastereomer products"
9,Diels-Alder,C1=CCC=C1,C=CC(C)=O,CC(=O)C1CC2C=CC1C2,,formamide,NC=O,293,0.00318,M^-1 s^-1,isooctane,CC(C)CC(C)(C)C,53.5,doi: 10.1021/ja00225a003,"Two pathways exist, each with endo and exo diastereomer products"
