can_smiles_solute,can_smiles_solvent,DGsolv,label,predicted,total_atoms_solute,total_atoms_solvent,shap_values
O=C1C=CC(=O)O1,Clc1ccccc1Cl,0.0,rxn8_r1,-6.2604938,7,8,"[ 0.50308142 -0.28108607  0.49260732  0.49260732 -0.28108607  0.50308142
 -0.21887494  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,Clc1ccccc1Cl,0.0,rxn8_p1,-10.39289,12,8,"[-0.88093452 -2.50393994 -0.00469713  0.35869472  3.18821513 -3.16724079
 -0.10996729  1.50088412 -2.99063351 -0.09922639  3.08221093 -1.29506762
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,Clc1ccccc1Cl,0.0,rxn8_r2,-3.0462146,5,8,"[-0.32084407 -1.09228783  2.83642323  1.76974128  1.23169729  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,Clc1cccc(Cl)c1,0.0,rxn8_r1,-6.152175,7,8,"[ 0.45258114 -0.14395263  0.415714    0.415714   -0.14395263  0.45258114
 -0.13051382  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,Clc1cccc(Cl)c1,0.0,rxn8_p1,-10.218453,12,8,"[-0.88035622 -2.52780863  0.03709792  0.37062292  3.26083699 -3.21767962
 -0.11462172  1.57482627 -3.045628   -0.10402804  3.15867066 -1.25917798
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
C=CC(=C)C,Clc1cccc(Cl)c1,0.0,rxn8_r2,-2.9363127,5,8,"[-0.16699265 -1.09648884  2.75323064  1.80970184  1.23508907  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,COc1ccccc1,0.0,rxn8_r1,-6.806071,7,8,"[ 0.33129749 -0.02292878  0.41836104  0.41836104 -0.02292878  0.33129749
 -0.78888426  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
CC1=CCC2C(=O)OC(=O)C2C1,COc1ccccc1,0.0,rxn8_p1,-10.532218,12,8,"[-3.15270652e-01 -9.25785141e-01 -7.28468816e-02 -6.15856654e-02
  1.08512229e+00 -1.70055046e+00 -3.52584898e-03  1.53804377e-01
 -1.59582660e+00 -9.10236833e-06  1.09037160e+00 -7.15295362e-01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00]"
C=CC(=C)C,COc1ccccc1,0.0,rxn8_r2,-3.0482433,5,8,"[-0.40071275 -1.1511881   2.9060209   1.86312766  1.20551642  0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
O=C1C=CC(=O)O1,c1ccccc1,0.0,rxn8_r1,-6.458609,7,6,"[ 0.37304969  0.01025795  0.60985192  0.60985192  0.01025795  0.37304969
 -0.97450994  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.        ]"
